,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Hotel Bernina,http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html,Milan,286 ,,2019/11/01,2019/11/05,$97,Expedia.com,12,
1,Hyatt Centric Milan Centrale,http://www.tripadvisor.com/Hotel_Review-g187849-d6820820-Reviews-Hyatt_Centric_Milan_Centrale-Milan_Lombardy.html,Milan,1543 ,,2019/11/01,2019/11/05,,TripAdvisor,15,
2,Charly,http://www.tripadvisor.com/Hotel_Review-g187849-d529115-Reviews-Charly-Milan_Lombardy.html,Milan,370 ,,2019/11/01,2019/11/05,,TripAdvisor,6,
3,iH Hotels Milano Lorenteggio,http://www.tripadvisor.com/Hotel_Review-g187849-d202838-Reviews-IH_Hotels_Milano_Lorenteggio-Milan_Lombardy.html,Milan,237 ,,2019/11/01,2019/11/05,,TripAdvisor,12,
4,Moscova Luxury B&B,http://www.tripadvisor.com/Hotel_Review-g187849-d12231338-Reviews-Moscova_Luxury_B_B-Milan_Lombardy.html,Milan,78 ,,2019/11/01,2019/11/05,,TripAdvisor,10,
5,Suitime Milano,http://www.tripadvisor.com/Hotel_Review-g187849-d2541598-Reviews-Suitime_Milano-Milan_Lombardy.html,Milan,172 ,,2019/11/01,2019/11/05,,TripAdvisor,7,
6,"Radisson Blu Hotel, Milan",http://www.tripadvisor.com/Hotel_Review-g187849-d646332-Reviews-Radisson_Blu_Hotel_Milan-Milan_Lombardy.html,Milan,2390 ,,2019/11/01,2019/11/05,$106,RadissonHotels.com,11,
7,Lancaster Hotel,http://www.tripadvisor.com/Hotel_Review-g187849-d237325-Reviews-Lancaster_Hotel-Milan_Lombardy.html,Milan,1003 ,,2019/11/01,2019/11/05,,TripAdvisor,9,
8,Ostello Bello Grande,http://www.tripadvisor.com/Hotel_Review-g187849-d9701793-Reviews-Ostello_Bello_Grande-Milan_Lombardy.html,Milan,670 ,,2019/11/01,2019/11/05,,TripAdvisor,14,
9,Residenza delle Citta,http://www.tripadvisor.com/Hotel_Review-g187849-d571641-Reviews-Residenza_delle_Citta-Milan_Lombardy.html,Milan,304 ,,2019/11/01,2019/11/05,,TripAdvisor,11,
10,Hotel Tiziano - Gruppo Mini Hotel,http://www.tripadvisor.com/Hotel_Review-g187849-d237324-Reviews-Hotel_Tiziano_Gruppo_Mini_Hotel-Milan_Lombardy.html,Milan,634 ,,2019/11/01,2019/11/05,,TripAdvisor,10,
11,Best Western Plus Hotel Galles,http://www.tripadvisor.com/Hotel_Review-g187849-d202890-Reviews-Best_Western_Plus_Hotel_Galles-Milan_Lombardy.html,Milan,2809 ,,2019/11/01,2019/11/05,,TripAdvisor,10,
12,B&B Atmosfera di Stagione,http://www.tripadvisor.com/Hotel_Review-g187849-d3766113-Reviews-B_B_Atmosfera_di_Stagione-Milan_Lombardy.html,Milan,189 ,,2019/11/01,2019/11/05,,B&B.it,0,
13,Hotel Mediolanum Milan,http://www.tripadvisor.com/Hotel_Review-g187849-d202568-Reviews-Hotel_Mediolanum_Milan-Milan_Lombardy.html,Milan,1012 ,,2019/11/01,2019/11/05,,TripAdvisor,10,
14,Best Western Hotel City,http://www.tripadvisor.com/Hotel_Review-g187849-d202891-Reviews-Best_Western_Hotel_City-Milan_Lombardy.html,Milan,915 ,,2019/11/01,2019/11/05,,TripAdvisor,9,
15,Hotel Canada Milano,http://www.tripadvisor.com/Hotel_Review-g187849-d1200372-Reviews-Hotel_Canada_Milano-Milan_Lombardy.html,Milan,1580 ,,2019/11/01,2019/11/05,,TripAdvisor,10,
16,RossoSegnale B&B,http://www.tripadvisor.com/Hotel_Review-g187849-d4097922-Reviews-RossoSegnale_B_B-Milan_Lombardy.html,Milan,377 ,,2019/11/01,2019/11/05,,TripAdvisor,9,
17,Best Western Plus Hotel Felice Casati,http://www.tripadvisor.com/Hotel_Review-g187849-d227395-Reviews-Best_Western_Plus_Hotel_Felice_Casati-Milan_Lombardy.html,Milan,1121 ,,2019/11/01,2019/11/05,,TripAdvisor,10,
18,Babila Hostel,http://www.tripadvisor.com/Hotel_Review-g187849-d12570388-Reviews-Babila_Hostel-Milan_Lombardy.html,Milan,100 ,,2019/11/01,2019/11/05,,TripAdvisor,12,
19,Hilton Milan,http://www.tripadvisor.com/Hotel_Review-g187849-d202853-Reviews-Hilton_Milan-Milan_Lombardy.html,Milan,3277 ,,2019/11/01,2019/11/05,,TripAdvisor,12,
20,Libeccio Bed & Breakfast Milano,http://www.tripadvisor.com/Hotel_Review-g187849-d2323572-Reviews-Libeccio_Bed_Breakfast_Milano-Milan_Lombardy.html,Milan,112 ,,2019/11/01,2019/11/05,,TripAdvisor,11,
21,Ostello Bello,http://www.tripadvisor.com/Hotel_Review-g187849-d2339007-Reviews-Ostello_Bello-Milan_Lombardy.html,Milan,858 ,,2019/11/01,2019/11/05,,TripAdvisor,12,
22,Hotel Manin,http://www.tripadvisor.com/Hotel_Review-g187849-d194347-Reviews-Hotel_Manin-Milan_Lombardy.html,Milan,832 ,,2019/11/01,2019/11/05,,TripAdvisor,12,
23,BnB Hello Milano,http://www.tripadvisor.com/Hotel_Review-g187849-d7110267-Reviews-BnB_Hello_Milano-Milan_Lombardy.html,Milan,153 ,,2019/11/01,2019/11/05,$107,TripAdvisor,7,
24,Hotel Milano Castello,http://www.tripadvisor.com/Hotel_Review-g187849-d13237496-Reviews-Hotel_Milano_Castello-Milan_Lombardy.html,Milan,160 ,,2019/11/01,2019/11/05,,TripAdvisor,11,
25,Aparthotel Duomo,http://www.tripadvisor.com/Hotel_Review-g187849-d6513836-Reviews-Aparthotel_Duomo-Milan_Lombardy.html,Milan,93 ,,2019/11/01,2019/11/05,,TripAdvisor,12,
26,UNAHOTELS Century Milano,http://www.tripadvisor.com/Hotel_Review-g187849-d202888-Reviews-UNAHOTELS_Century_Milano-Milan_Lombardy.html,Milan,1579 ,,2019/11/01,2019/11/05,,TripAdvisor,12,
27,Queen Hostel,http://www.tripadvisor.com/Hotel_Review-g187849-d10093218-Reviews-Queen_Hostel-Milan_Lombardy.html,Milan,222 ,,2019/11/01,2019/11/05,,TripAdvisor,10,
28,Windsor Hotel Milano,http://www.tripadvisor.com/Hotel_Review-g187849-d228989-Reviews-Windsor_Hotel_Milano-Milan_Lombardy.html,Milan,2525 ,,2019/11/01,2019/11/05,,TripAdvisor,12,
29,Savona 18 Suites,http://www.tripadvisor.com/Hotel_Review-g187849-d12919916-Reviews-Savona_18_Suites-Milan_Lombardy.html,Milan,66 ,,2019/11/01,2019/11/05,,TripAdvisor,10,
30,B&B Bronzino House,http://www.tripadvisor.com/Hotel_Review-g187849-d3562012-Reviews-B_B_Bronzino_House-Milan_Lombardy.html,Milan,159 ,,2019/11/01,2019/11/05,,Booking.com,0,
31,NH Milano Machiavelli,http://www.tripadvisor.com/Hotel_Review-g187849-d229027-Reviews-NH_Milano_Machiavelli-Milan_Lombardy.html,Milan,1357 ,,2019/11/01,2019/11/05,,TripAdvisor,14,
