,review_body,review_date,hotelName,hotelUrl
0,"Good location. Reception staff were extremely helpful and friendly. Went out of their way to help us with the few queries we had. Location excellent, close to restaurants , metro and central railway.would be happy to stay here again ","September 28, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
1,"We stayed here the night before we had to fly out of Malpensa and it worked really well. It's located very near the train station and the staff were very helpful. We left early before breakfast was being served, but they provided us with a small bag packed with food. The room was very clean and check-in/check-out went very smoothly.","September 22, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
2,The hotel is conveniently located across Milano Centrale station and is the perfect place to stay if you happen to be in the area. The rooms and bathroom are new and have tea and water in the room. I would gladly stay at this property again.,"September 6, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
3,Staff was very helpful. Room was very clean. Room and bathroom was very small but well equipped. We elected not to have the breakfast but breakfast room setup appeared to be very nice.WE were looking for a fairly inexpensive hotel in walking distance to Milan Central and this fit our needs.,"August 13, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
4,Good hotel with very good location and cleanliness.But the receptionist was not friendly and not helpful. Breakfast was average. Very near train station and easy access. TV channels are all in italian.,"July 12, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
5,Nice hotel near central station Milan. Good breakfast. Nice atmosphere. Good staff. Rooms a bit small but practical and nice. Great location in center. Rooms are clean and comfortanble. Good value for money,"July 7, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
6,Great location but the staff is horrible not friendly at all only if you speak French I noticed the staff was friendly to people speaking the same language but if you’re an American I didn’t find the hotel staff to be friendly at all the guy that worked on the corner that provided us with excursions was friendlier than the people at the hotel. The bathroom is so small that two people can’t be in at the same time. your bed is three steps away from the room door. I also took a picture of a bed . Do not stay at this hotel. Horrible place. They also say breakfast is included. Nothing is included. You pay for the breakfast. Horrible place. Worst hotel I have ever stayed in while in Europe and I travel for Vacation twice a year for the past 10 years.,"June 30, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
7,Close to the city and station. Convenient. Close to eateries and bus stand for tours and their interior decoration was classy for a small hotel. Great break fast and friendly staff. Will stay in this place again if we do another trip to Milan.,"June 11, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
8,"Booked at the Bernina because central to station arriving and leaving , only half block to walk with luggage. The metro was quick to get to all sights, once we got our head around it. The staff were friendly and efficient with our booking. Breakfast was continental with plenty of choice, cereal, fruits pancakes toast pastries coffee and tea. the room was clean and cosy fresh towels daily, I would stay again for the convenience. ","June 9, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
9,"Rooms were very clean and comfortable. When we requested a room change, as we were next to a noisy lift, there was no issue and we were given a new room.The location was good as we were very near the train station.","June 9, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
